StudentID,othermark,midtermMark,finalMark,totalMark
21140014,8.3,9.8,7.8,8.55
21140019,8,8,10,8.8
21140021,6,8,6,6.6
21140023,1,9,6,5.4
21140033,7,10,7,7.9
21140044,8.8,5.8,8.1,7.435
21140046,3,2,7,4.3
21140052,7,10,7,7.9
21140055,9,4,10,7.9
21140059,3,8.5,6.5,6.05
21140060,5,2,8,5.3
21140065,6,4,6,5.4
21140069,1,4,6,3.9
21140073,7,8.9,8.8,8.29
21140081,9,2,9,6.9
21140083,4,7,8,6.5
21140084,9,10,2,6.5
21140091,9,8,5,7.1
21140094,9,7,2,5.6
21140105,3,7,2,3.8
21140106,8.9,8.8,8.5,8.71
21140107,7,4,3,4.5
21140111,7,8,6,6.9
21140112,8.8,3,7,6.54
21140113,2,7,9,6.3
21140116,7,4.7,9.75,7.41
21140124,1,2,8,4.1
21140129,10,7,6,7.5
21140130,10,8,7.1,8.24
21140134,9,4,1,4.3
21140135,8,10,10,9.4
21140137,8,9,1,5.5
21140140,6,5.4,4,5.02
21140142,5,7,7,6.4
21140146,7,1,5,4.4
21140155,7,6,2,4.7
21140163,8,10,10,9.4
21140167,6,8,10,8.2
21140178,3.4,4,7,5.02
21140181,3.4,4,7,5.02
21140182,3.4,4,7,5.02
21140212,3.4,4,7,5.02
21170194,3.4,4,7,5.02
21170195,3.4,4,7,5.02
21170197,3.4,4,7,5.02
21170198,3.4,4,7,5.02
21170199,3.4,4,7,5.02
21170200,3.4,4,7,5.02
21170201,3.4,4,7,5.02
21170202,3.4,4,7,5.02
21147146,3.4,4,7,5.02
21147147,3.4,4,7,5.02
21147148,3.4,4,7,5.02
21147149,3.4,4,7,5.02
21147150,3.4,4,7,5.02
21147151,3.4,4,7,5.02
21147152,3.4,4,7,5.02
21147104,3.4,4,7,5.02
21147106,3.4,4,7,5.02
21147108,3.4,4,7,5.02
21147109,3.4,4,7,5.02
21147110,3.4,4,7,5.02
21147111,3.4,4,7,5.02
21147112,3.4,4,7,5.02
21147113,3.4,4,7,5.02
21147114,3.4,4,7,5.02
21140377,3.4,4,7,5.02
21140378,3.4,4,7,5.02
21140380,3.4,4,7,5.02
21140381,3.4,4,7,5.02
21140384,3.4,4,7,5.02
21140385,3.4,4,7,5.02
21140387,3.4,4,7,5.02
